,Id,Name,Gender,Subject1 Marks,Subject2 Marks,Subject3 Marks,Subject4 Marks,Subject5 Marks,Subject6 Marks,Grade for sub1,Grade for sub2,Grade for sub3,Grade for sub4,Grade for sub5,Grade for sub6,Total marks,CGPA
0,1.0,Klaus,Male,77.0,41.0,49.0,42.0,52.0,17.0,A+,P,C,P,B,F,278.0,C
1,2.0,Elijah,Male,35.0,48.0,33.0,42.0,60.0,88.0,F,C,F,P,A,O,306.0,B
2,3.0,Rebekah,Female,39.0,59.0,31.0,43.0,54.0,20.0,F,B+,F,P,B,F,246.0,P
3,4.0,Caroline,Female,81.0,55.0,59.0,43.0,60.0,76.0,O,B+,B+,P,A,A+,374.0,A
4,5.0,Haily,Female,82.0,56.0,50.0,43.0,45.0,16.0,O,B+,B,P,C,F,292.0,C
5,6.0,Elena,Female,85.0,42.0,47.0,43.0,41.0,89.0,O,P,C,P,P,O,347.0,B+
6,,,,,,,,,,,,,,,,,B+
7,8.0,Ester,Female,63.0,46.0,69.0,44.0,46.0,78.0,O,C,B,C,C,A+,346.0,A
8,,,,,,,,,,,,,,,,,C
9,10.0,Tsunade,Female,96.0,48.0,53.0,46.0,46.0,73.0,A,B,F,C,B+,O,362.0,B
10,11.0,Jiraya,Male,30.0,52.0,70.0,46.0,56.0,35.0,P,C,B,C,B+,O,289.0,B+
11,12.0,Sakura,Female,64.0,54.0,19.0,46.0,55.0,83.0,A+,C,A,C,B,F,321.0,B
12,,,,,,,,,,,,,,,,,B
13,14.0,himawari,Female,40.0,46.0,54.0,47.0,59.0,93.0,A,P,P,C,B,F,339.0,C
14,15.0,Boruto,Male,77.0,48.0,63.0,48.0,51.0,26.0,P,B+,A,C,C,O,313.0,C
15,16.0,Thomas Shelby,Male,71.0,50.0,18.0,48.0,59.0,75.0,O,P,F,C,B+,F,321.0,B
16,17.0,Linda,Female,66.0,43.0,43.0,48.0,50.0,20.0,B+,B+,F,C,C,A,270.0,B+
17,18.0,Aurthur,Male,41.0,59.0,68.0,48.0,48.0,95.0,O,B+,A+,C,B+,F,359.0,C
18,19.0,Jackson,Male,86.0,43.0,19.0,48.0,59.0,27.0,P,P,C,C,P,A+,282.0,B
19,20.0,Veronica,Female,59.0,57.0,32.0,48.0,47.0,63.0,O,B+,A,B,C,F,306.0,A
20,21.0,Naruto,Male,96.0,56.0,70.0,49.0,55.0,13.0,A,O,A,B,B+,O,339.0,P
21,22.0,Sasuke,Male,40.0,40.0,47.0,49.0,42.0,75.0,B+,F,B+,B,C,F,293.0,B+
22,23.0,Sarada,Female,97.0,58.0,60.0,50.0,49.0,10.0,B+,A+,F,B,B,O,324.0,F
23,24.0,Minato,Male,65.0,91.0,60.0,50.0,56.0,92.0,F,F,C,B,B,F,414.0,A
24,25.0,Kushina,Female,57.0,29.0,59.0,54.0,47.0,13.0,A+,O,P,B,C,A,259.0,F
25,26.0,Hashirama,Male,56.0,77.0,26.0,54.0,54.0,86.0,F,F,F,B,B,F,353.0,A
26,27.0,Chio,Female,32.0,35.0,45.0,54.0,53.0,15.0,A+,A+,C,B,P,O,234.0,A
27,28.0,Gara,Male,76.0,95.0,40.0,54.0,48.0,69.0,A,A+,F,B,B+,O,382.0,B
28,29.0,Ino,Female,35.0,11.0,23.0,54.0,52.0,14.0,O,F,A,B,P,F,189.0,B+
29,30.0,Hope,Female,75.0,75.0,49.0,54.0,42.0,90.0,C,A+,C,B,P,O,385.0,P
30,,,,,,,,,,,,,,,,,C
31,32.0,Katherine,Female,64.0,75.0,38.0,54.0,55.0,86.0,O,F,B,B+,B+,F,372.0,A
32,33.0,Damon,Male,95.0,34.0,67.0,54.0,41.0,15.0,O,A+,F,B+,B+,A,306.0,P
33,34.0,Stefan,Male,45.0,71.0,46.0,54.0,44.0,88.0,O,F,F,B+,A,F,348.0,A
34,35.0,Nicko Robin,Female,66.0,5.0,21.0,54.0,57.0,39.0,O,A+,B,B+,C,O,242.0,P
35,,,,,,,,,,,,,,,,,B+
36,37.0,Boa Hancock,Female,98.0,7.0,50.0,57.0,58.0,24.0,A,O,F,B+,P,A,294.0,C
37,38.0,Chloe,Female,92.0,73.0,22.0,57.0,55.0,68.0,O,P,C,A,C,F,367.0,A
38,39.0,Mia,Female,85.0,10.0,34.0,58.0,60.0,17.0,A,O,P,A,P,O,264.0,F
39,40.0,Ella Lopez,Female,93.0,72.0,50.0,58.0,46.0,85.0,A,F,F,A,P,F,404.0,
40,41.0,Trixie,Female,51.0,5.0,68.0,59.0,55.0,23.0,F,O,F,A,B,A+,261.0,
41,42.0,Lufy,Male,62.0,93.0,18.0,59.0,41.0,69.0,A,F,C,A,C,F,342.0,
42,43.0,Zoro,Male,85.0,40.0,48.0,60.0,49.0,8.0,B+,A+,F,A,B,A+,290.0,
43,44.0,Jasmine,Female,67.0,87.0,40.0,60.0,40.0,91.0,C,F,C,A,P,F,385.0,
44,45.0,Lilly,Female,64.0,12.0,32.0,60.0,42.0,16.0,C,O,F,A,C,O,226.0,
